,date,latitude,longitude,numberofcases,comments,x_coord,y_coord,region
323,2016-01-01,1.454842,103.817248,1,Admiralty Link (Blk 486),26211.6413035,48494.6350875,NORTH
324,2016-01-01,1.454951,103.81693,1,Admiralty Link (Blk 489),26176.2531265,48506.6880168,NORTH
325,2016-01-01,1.3194707,103.8844493,2,Aljunied Crescent (Blk 109),33690.3845289,33526.0155218,CENTRAL
326,2016-01-01,1.3693402,103.8544579,1,Ang Mo Kio Avenue 3 (Blk 427),30352.5880864,39040.2817777,NORTH-EAST
327,2016-01-01,1.3682897,103.8535289,1,Ang Mo Kio Avenue 10 (Blk 432),30249.2025865,38924.1219372,NORTH-EAST
328,2016-01-01,1.3230091,103.9529433,1,Bedok Garden,41313.0836352,33917.5360012,EAST
329,2016-01-01,1.3224649,103.9534485,1,Bilal Lane,41369.3103858,33857.363741,EAST
330,2016-01-01,1.3338199,103.9150453,1,Bedok Reservoir Road (Blk 634),37095.3685539,35112.76897,EAST
331,2016-01-01,1.3338199,103.9150453,1,Bedok Reservoir Road (Blk 635),37095.3685539,35112.76897,EAST
332,2016-01-01,1.318858,103.862831,1,Bendemeer Road (Blk 27),31284.4804142,33458.2273192,CENTRAL
333,2016-01-01,1.3194317,103.8640138,1,Bendemeer Road (Blk 30),31416.1136969,33521.6657191,CENTRAL
334,2016-01-01,1.3566609,103.8661662,1,Cardiff Grove,31655.599616,37638.2838272,NORTH-EAST
335,2016-01-01,1.3563771,103.8655757,1,Chiselhurst Grove,31589.8841671,37606.9017825,NORTH-EAST
336,2016-01-01,1.3175755,103.9058368,1,Changi Road,36070.6105708,33316.5129992,EAST
337,2016-01-01,1.352083,103.819836,1,Kampong Eunos (Eunos Park),26499.5783502,37132.0623973,NORTH
338,2016-01-01,1.401267,103.749749,1,Choa Chu Kang Crescent (Blk 660),18699.8742711,42570.7408473,WEST
339,2016-01-01,1.4006074,103.7513186,1,Choa Chu Kang Crescent (Blk 692B),18874.5470722,42497.7993692,WEST
340,2016-01-01,1.3868306,103.899761,2,Compassvale Lane (Blk 206A),35394.2232226,40974.3746851,NORTH-EAST
341,2016-01-01,1.352083,103.819836,2,Dover Rise (Heritage View),26499.5783502,37132.0623973,NORTH
342,2016-01-01,1.36162,103.878666,2,Glasgow Road,33046.6735835,38186.658455,NORTH-EAST
343,2016-01-01,1.2837341,103.8189442,1,Jalan Bukit Merah (Blk 104),26400.2874281,29574.3924522,CENTRAL
344,2016-01-01,1.2803142,103.8242073,1,Jalan Bukit Merah (Blk 106),26986.0256377,29196.2348879,CENTRAL
345,2016-01-01,1.3102669,103.9209931,1,Jalan Dondang Sayang,37757.3890794,32508.4188386,EAST
346,2016-01-01,1.3097867,103.9211976,1,Jalan Puteri Jula Juli,37780.1498911,32455.321527,EAST
347,2016-01-01,1.4392696,103.8259988,1,Jalan Salang,27185.4584437,46772.7121407,NORTH
348,2016-01-01,1.4624517,103.8382386,1,Sembawang Road,28547.5542047,49336.0718465,NORTH
349,2016-01-01,1.352083,103.819836,1,Joo Chiat Terrace (One Eighties Residences),26499.5783502,37132.0623973,NORTH
350,2016-01-01,1.352083,103.819836,1,Joo Chiat Place (Flora East),26499.5783502,37132.0623973,NORTH
351,2016-01-01,1.3465954,103.7340336,1,Jurong East Street 32 (Blk 316),16950.7101538,36525.4924921,WEST
352,2016-01-01,1.352083,103.819836,1,Jurong East Street 32 (The Mayfair),26499.5783502,37132.0623973,NORTH
353,2016-01-01,1.308777,103.8522,2,Klang Lane (Blk 671A),30101.3626249,32343.510606,CENTRAL
354,2016-01-01,1.3113118,103.8791529,1,Lorong 14 Geylang,33100.9636167,32623.8345169,CENTRAL
355,2016-01-01,1.310337,103.8792887,1,Lorong 14 Geylang (Wing Fong Mansion),33116.0788536,32516.0463885,CENTRAL
356,2016-01-01,1.3216359,103.9083652,1,Lorong Marican,36351.9835462,33765.4998973,EAST
357,2016-01-01,1.3197205,103.9077415,1,Lorong Sarina,36282.5782067,33553.7025322,EAST
358,2016-01-01,1.352083,103.819836,2,Marine Parade Road (Laguna Park),26499.5783502,37132.0623973,NORTH
359,2016-01-01,1.371335,103.958606,1,Pasir Ris Drive 4 (Blk 461),41943.0123584,39261.2109987,EAST
360,2016-01-01,1.3720655,103.9579996,1,Pasir Ris Drive 6 (Blk 454),41875.5230551,39341.9826416,EAST
361,2016-01-01,1.3717232,103.9615797,2,Pasir Ris Street 21 (Blk 227),42273.9474662,39304.1538097,EAST
362,2016-01-01,1.374133,103.89574,1,Punggol East (Blk 167A),34946.7743473,39570.3255635,NORTH-EAST
363,2016-01-01,1.374133,103.89574,1,Punggol East (Blk 167D),34946.7743473,39570.3255635,NORTH-EAST
364,2016-01-01,1.2864383,103.8169141,1,Redhill Close (Blk 1),26174.355985,29873.4102923,CENTRAL
365,2016-01-01,1.2864383,103.8169141,1,Redhill Close (Blk 90),26174.355985,29873.4102923,CENTRAL
366,2016-01-01,1.3150295,103.9179912,2,Roseburn Avenue,37423.2876862,33035.0317501,EAST
367,2016-01-01,1.3234236,103.8616403,1,Saint Georges Road (Blk 1),31151.9614075,33963.0664512,CENTRAL
368,2016-01-01,1.3233982,103.8628859,1,Saint Georges Road (Blk 13),31290.5842766,33960.2594657,CENTRAL
369,2016-01-01,1.356988,103.93866,1,Tampines Central 7 (Blk 515B),39723.3303802,37674.6832359,EAST
370,2016-01-01,1.3563593,103.9401342,1,Tampines Central 8 (Blk 519C),39887.3952083,37605.1718682,EAST
371,2016-01-01,1.3524335,103.952386,2,Tampines Street 21 (Blk 203),41250.9037463,37171.1396105,EAST
372,2016-01-01,1.3500494,103.9528594,1,Tampines Street 22 (Blk 285),41303.6008946,36907.5200195,EAST
373,2016-01-01,1.348747,103.954419,1,Tampines Street 22 (Blk 288),41477.1744534,36763.5155438,EAST
374,2016-01-01,1.3515762,103.9326168,1,Tampines Street 83 (Blk 884),39050.8152666,37076.2446715,EAST
375,2016-01-01,1.351868,103.932798,1,Tampines Street 84 (Blk 883),39070.9794931,37108.5112994,EAST
376,2016-01-01,1.3573888,103.8256863,2,Windsor Park Road,27150.6525169,37718.7478536,CENTRAL
377,2016-01-01,42.103525,-83.2255529,1,Woodgrove Avenue (Woodhaven),153424655.047,-55155499.4108,NA
